Date,price,short_mavg,long_mavg,signal,positions
2024-03-28 00:00:00+00:00,90.35600280761719,92.4916000366211,89.44254989624024,1.0,0.0
2024-04-01 00:00:00+00:00,90.36299896240234,91.7063995361328,89.84674987792968,1.0,0.0
2024-04-02 00:00:00+00:00,89.4520034790039,90.59640045166016,90.05750007629395,1.0,0.0
2024-04-03 00:00:00+00:00,88.96399688720703,89.87700042724609,90.20750007629394,0.0,-1.0
2024-04-04 00:00:00+00:00,85.90499877929688,89.00800018310547,90.06775016784668,0.0,0.0
2024-04-05 00:00:00+00:00,88.00800323486328,88.53840026855468,89.83470039367675,0.0,0.0
2024-04-08 00:00:00+00:00,87.13300323486328,87.89240112304688,89.81495056152343,0.0,0.0
2024-04-09 00:00:00+00:00,85.35399627685547,87.07279968261719,89.79395027160645,0.0,0.0
2024-04-10 00:00:00+00:00,87.03900146484375,86.68780059814453,89.55025024414063,0.0,0.0
2024-04-11 00:00:00+00:00,90.61599731445312,87.63000030517578,89.53665008544922,0.0,0.0
2024-04-12 00:00:00+00:00,88.18599700927734,87.6655990600586,89.54874992370605,0.0,0.0
2024-04-15 00:00:00+00:00,86.0009994506836,87.43919830322265,89.45694999694824,0.0,0.0
2024-04-16 00:00:00+00:00,87.41500091552734,87.85139923095703,89.40494995117187,0.0,0.0
2024-04-17 00:00:00+00:00,84.03500366210938,87.25059967041015,89.13680000305176,0.0,0.0
2024-04-18 00:00:00+00:00,84.6709976196289,86.06159973144531,88.85174980163575,0.0,0.0
2024-04-19 00:00:00+00:00,76.19999694824219,83.66439971923828,88.08999977111816,0.0,0.0
2024-04-22 00:00:00+00:00,79.51799774169922,82.3677993774414,87.35144958496093,0.0,0.0
2024-04-23 00:00:00+00:00,82.4229965209961,81.36939849853516,86.72249946594238,0.0,0.0
2024-04-24 00:00:00+00:00,79.677001953125,80.49779815673828,86.07829971313477,0.0,0.0
2024-04-25 00:00:00+00:00,82.63200378417969,80.08999938964844,85.69739990234375,0.0,0.0
2024-04-26 00:00:00+00:00,87.73500061035156,82.39700012207031,85.56634979248047,0.0,0.0
2024-04-29 00:00:00+00:00,87.75700378417969,84.0448013305664,85.43605003356933,0.0,0.0
2024-04-30 00:00:00+00:00,86.4020004272461,84.84060211181641,85.28354988098144,0.0,0.0
2024-05-01 00:00:00+00:00,83.04100036621094,85.51340179443359,84.98740005493164,1.0,1.0
2024-05-02 00:00:00+00:00,85.81700134277344,86.15040130615235,84.98300018310547,1.0,0.0
2024-05-03 00:00:00+00:00,88.78900146484375,86.36120147705078,85.0220500946045,1.0,0.0
2024-05-06 00:00:00+00:00,92.13999938964844,87.23780059814453,85.27239990234375,1.0,0.0
2024-05-07 00:00:00+00:00,90.55400085449219,88.06820068359374,85.53240013122559,1.0,0.0
2024-05-08 00:00:00+00:00,90.41200256347656,89.54240112304687,85.70105018615723,1.0,0.0
